player_name,country,year,current_position,suggested_position,notes
Alejandro Schiavio,Argentina,1987,TBC,,
Diego Cash,Argentina,1987,TBC,,
Diego Cuesta Silva,Argentina,1987,TBC,,
Fabián Turnes,Argentina,1987,TBC,,
Fernando Morel,Argentina,1987,TBC,,
Hugo Torres,Argentina,1987,TBC,,
Jorge Allen,Argentina,1987,TBC,,
José Mostany,Argentina,1987,TBC,,
Juan Lanza,Argentina,1987,TBC,,
Luis Molina,Argentina,1987,TBC,,
Marcelo Campo,Argentina,1987,TBC,,
Pedro Lanza,Argentina,1987,TBC,,
Rafael Madero,Argentina,1987,TBC,,
Andrew Slack,Australia,1987,TBC,,
Andy McIntyre,Australia,1987,TBC,,
Brett Papworth,Australia,1987,TBC,,
Cameron Lillicrap,Australia,1987,TBC,,
David Codey,Australia,1987,TBC,,
Enrique Rodríguez,Australia,1987,TBC,,
Jeff Miller,Australia,1987,TBC,,
Mark Hartill,Australia,1987,TBC,,
Michael Cook,Australia,1987,TBC,,
Peter Grigg,Australia,1987,TBC,,
Simon Poidevin,Australia,1987,TBC,,
Bill Handson,Canada,1987,TBC,,
Bruce Breen,Canada,1987,TBC,,
Charles Jones,Canada,1987,TBC,,
Eddie Evans,Canada,1987,TBC,,
Ian Stuart,Canada,1987,TBC,,
John Lecky,Canada,1987,TBC,,
Pat Palmer,Canada,1987,TBC,,
Paul Vaesen,Canada,1987,TBC,,
Randy McKellar,Canada,1987,TBC,,
Rob Frame,Canada,1987,TBC,,
Ross Breen,Canada,1987,TBC,,
Roy Radu,Canada,1987,TBC,,
Spence McTavish,Canada,1987,TBC,,
Steve Gray,Canada,1987,TBC,,
Tom Woods,Canada,1987,TBC,,
Fran Clough,England,1987,TBC,,
Gareth Chilcott,England,1987,TBC,,
Gary Pearce,England,1987,TBC,,
Gary Rees,England,1987,TBC,,
Jamie Salmon,England,1987,TBC,,
Jeff Probyn,England,1987,TBC,,
Jon Hall,England,1987,TBC,,
Kevin Simms,England,1987,TBC,,
Mark Bailey,England,1987,TBC,,
Mike Harrison,England,1987,TBC,,
Paul Rendall,England,1987,TBC,,
Peter Winterbottom,England,1987,TBC,,
Apisai Nagata,Fiji,1987,TBC,,
Epineri Naituku,Fiji,1987,TBC,,
Jimi Damu,Fiji,1987,TBC,,
Kaiava Salusalu,Fiji,1987,TBC,,
Kavekini Nalaga,Fiji,1987,TBC,,
Livai Kididromo,Fiji,1987,TBC,,
Manasa Qoro,Fiji,1987,TBC,,
Peni Volavola,Fiji,1987,TBC,,
Sairusi Naituku,Fiji,1987,TBC,,
Samuela Vunivalu,Fiji,1987,TBC,,
Serupepeli Tuvula,Fiji,1987,TBC,,
Sirilo Lovokuro,Fiji,1987,TBC,,
Tom Mitchell,Fiji,1987,TBC,,
Tomasi Cama,Fiji,1987,TBC,,
Denis Charvet,France,1987,TBC,,
Dominique Erbani,France,1987,TBC,,
Franck Mesnel,France,1987,TBC,,
Jean-Baptiste Lafond,France,1987,TBC,,
Jean-Louis Tolot,France,1987,TBC,,
Jean-Luc Joinel,France,1987,TBC,,
Jean-Pierre Garuet-Lempirou,France,1987,TBC,,
Louis Armary,France,1987,TBC,,
Marc Andrieu,France,1987,TBC,,
Pascal Ondarts,France,1987,TBC,,
Patrick Estève,France,1987,TBC,,
Éric Bonneval,France,1987,TBC,,
Éric Champ,France,1987,TBC,,
Brendan Mullin,Ireland,1987,TBC,,
David Irwin,Ireland,1987,TBC,,
Derek McGrath,Ireland,1987,TBC,,
Des Fitzgerald,Ireland,1987,TBC,,
J. J. McCoy,Ireland,1987,TBC,,
Job Langbroek,Ireland,1987,TBC,,
Keith Crossan,Ireland,1987,TBC,,
Mike Kiernan,Ireland,1987,TBC,,
Nigel Carr,Ireland,1987,TBC,,
Paul Collins,Ireland,1987,TBC,,
Philip Orr,Ireland,1987,TBC,,
Phillip Matthews,Ireland,1987,TBC,,
Trevor Ringland,Ireland,1987,TBC,,
Fabio Gaetaniello,Italy,1987,TBC,,
Giancarlo Cucchiella,Italy,1987,TBC,,
Gianni Zanon,Italy,1987,TBC,,
Giuseppe Artuso,Italy,1987,TBC,,
Guido Rossi,Italy,1987,TBC,,
Marcello Cuttitta,Italy,1987,TBC,,
Mario Pavin,Italy,1987,TBC,,
Massimo Mascioletti,Italy,1987,TBC,,
Piergianni Farina,Italy,1987,TBC,,
