player_name,country,year,current_position,suggested_position,source,confidence,reason,notes
Richard Loe,New Zealand,1987,TBC,,,,No trusted structured position source found,
Richard Loe,New Zealand,1991,TBC,,,,No trusted structured position source found,
Richard Loe,New Zealand,1995,TBC,,,,No trusted structured position source found,
Alan Whetton,New Zealand,1987,TBC,,,,No trusted structured position source found,
Alan Whetton,New Zealand,1991,TBC,,,,No trusted structured position source found,
Andy Earl,New Zealand,1987,TBC,,,,No trusted structured position source found,
Andy Earl,New Zealand,1991,TBC,,,,No trusted structured position source found,
Bernie McCahill,New Zealand,1987,TBC,,,,No trusted structured position source found,
Bernie McCahill,New Zealand,1991,TBC,,,,No trusted structured position source found,
Bruce Deans,New Zealand,1987,TBC,,,,No trusted structured position source found,
Craig Green,New Zealand,1987,TBC,,,,No trusted structured position source found,
David Kirk,New Zealand,1987,TBC,,,,No trusted structured position source found,
Frano Botica,New Zealand,1987,TBC,,,,No trusted structured position source found,
Grant Fox,New Zealand,1987,TBC,,,,No trusted structured position source found,
Grant Fox,New Zealand,1991,TBC,,,,No trusted structured position source found,
Joe Stanley,New Zealand,1987,TBC,,,,No trusted structured position source found,
John Drake,New Zealand,1987,TBC,,,,No trusted structured position source found,
John Kirwan,New Zealand,1987,TBC,,,,No trusted structured position source found,
John Kirwan,New Zealand,1991,TBC,,,,No trusted structured position source found,
Mark Brooke-Cowden,New Zealand,1987,TBC,,,,No trusted structured position source found,
Michael Jones,New Zealand,1987,TBC,,,,No trusted structured position source found,
Michael Jones,New Zealand,1991,TBC,,,,No trusted structured position source found,
Steve McDowall,New Zealand,1987,TBC,,,,No trusted structured position source found,
Steve McDowall,New Zealand,1991,TBC,,,,No trusted structured position source found,
Terry Wright,New Zealand,1987,TBC,,,,No trusted structured position source found,
Terry Wright,New Zealand,1991,TBC,,,,No trusted structured position source found,
Warwick Taylor,New Zealand,1987,TBC,,,,No trusted structured position source found,
Mark Hartill,Australia,1987,TBC,,,,No trusted structured position source found,
Mark Hartill,Australia,1995,TBC,,,,No trusted structured position source found,
Andrew Slack,Australia,1987,TBC,,,,No trusted structured position source found,
Andy McIntyre,Australia,1987,TBC,,,,No trusted structured position source found,
Brett Papworth,Australia,1987,TBC,,,,No trusted structured position source found,
Cameron Lillicrap,Australia,1987,TBC,,,,No trusted structured position source found,
Cameron Lillicrap,Australia,1991,TBC,,,,No trusted structured position source found,
David Codey,Australia,1987,TBC,,,,No trusted structured position source found,
Enrique Rodríguez,Australia,1987,TBC,,,,No trusted structured position source found,
Jeff Miller,Australia,1987,TBC,,,,No trusted structured position source found,
Jeff Miller,Australia,1991,TBC,,,,No trusted structured position source found,
Michael Cook,Australia,1987,TBC,,,,No trusted structured position source found,
Peter Grigg,Australia,1987,TBC,,,,No trusted structured position source found,
Simon Poidevin,Australia,1987,TBC,,,,No trusted structured position source found,
Simon Poidevin,Australia,1991,TBC,,,,No trusted structured position source found,
Fran Clough,England,1987,TBC,,,,No trusted structured position source found,
Gareth Chilcott,England,1987,TBC,,,,No trusted structured position source found,
Gary Pearce,England,1987,TBC,,,,No trusted structured position source found,
Gary Pearce,England,1991,TBC,,,,No trusted structured position source found,
Gary Rees,England,1987,TBC,,,,No trusted structured position source found,
Gary Rees,England,1991,TBC,,,,No trusted structured position source found,
Jamie Salmon,England,1987,TBC,,,,No trusted structured position source found,
Jeff Probyn,England,1987,TBC,,,,No trusted structured position source found,
Jeff Probyn,England,1991,TBC,,,,No trusted structured position source found,
Jon Hall,England,1987,TBC,,,,No trusted structured position source found,
Kevin Simms,England,1987,TBC,,,,No trusted structured position source found,
Mark Bailey,England,1987,TBC,,,,No trusted structured position source found,
Mike Harrison,England,1987,TBC,,,,No trusted structured position source found,
Paul Rendall,England,1987,TBC,,,,No trusted structured position source found,
Paul Rendall,England,1991,TBC,,,,No trusted structured position source found,
Peter Winterbottom,England,1987,TBC,,,,No trusted structured position source found,
Peter Winterbottom,England,1991,TBC,,,,No trusted structured position source found,
Franck Mesnel,France,1987,TBC,,,,No trusted structured position source found,
Franck Mesnel,France,1991,TBC,,,,No trusted structured position source found,
Franck Mesnel,France,1995,TBC,,,,No trusted structured position source found,
Louis Armary,France,1987,TBC,,,,No trusted structured position source found,
Louis Armary,France,1991,TBC,,,,No trusted structured position source found,
Louis Armary,France,1995,TBC,,,,No trusted structured position source found,
Denis Charvet,France,1987,TBC,,,,No trusted structured position source found,
Dominique Erbani,France,1987,TBC,,,,No trusted structured position source found,
Jean-Baptiste Lafond,France,1987,TBC,,,,No trusted structured position source found,
Jean-Baptiste Lafond,France,1991,TBC,,,,No trusted structured position source found,
Jean-Louis Tolot,France,1987,TBC,,,,No trusted structured position source found,
Jean-Luc Joinel,France,1987,TBC,,,,No trusted structured position source found,
Jean-Pierre Garuet-Lempirou,France,1987,TBC,,,,No trusted structured position source found,
Marc Andrieu,France,1987,TBC,,,,No trusted structured position source found,
Pascal Ondarts,France,1987,TBC,,,,No trusted structured position source found,
Pascal Ondarts,France,1991,TBC,,,,No trusted structured position source found,
Patrick Estève,France,1987,TBC,,,,No trusted structured position source found,
Éric Bonneval,France,1987,TBC,,,,No trusted structured position source found,
Éric Champ,France,1987,TBC,,,,No trusted structured position source found,
Éric Champ,France,1991,TBC,,,,No trusted structured position source found,
Brendan Mullin,Ireland,1987,TBC,,,,No trusted structured position source found,
Brendan Mullin,Ireland,1991,TBC,,,,No trusted structured position source found,
Brendan Mullin,Ireland,1995,TBC,,,,No trusted structured position source found,
David Irwin,Ireland,1987,TBC,,,,No trusted structured position source found,
Derek McGrath,Ireland,1987,TBC,,,,No trusted structured position source found,
Des Fitzgerald,Ireland,1987,TBC,,,,No trusted structured position source found,
Des Fitzgerald,Ireland,1991,TBC,,,,No trusted structured position source found,
J. J. McCoy,Ireland,1987,TBC,,,,No trusted structured position source found,
Job Langbroek,Ireland,1987,TBC,,,,No trusted structured position source found,
Keith Crossan,Ireland,1987,TBC,,,,No trusted structured position source found,
Keith Crossan,Ireland,1991,TBC,,,,No trusted structured position source found,
Mike Kiernan,Ireland,1987,TBC,,,,No trusted structured position source found,
Nigel Carr,Ireland,1987,TBC,,,,No trusted structured position source found,
Paul Collins,Ireland,1987,TBC,,,,No trusted structured position source found,
Philip Orr,Ireland,1987,TBC,,,,No trusted structured position source found,
Phillip Matthews,Ireland,1987,TBC,,,,No trusted structured position source found,
Phillip Matthews,Ireland,1991,TBC,,,,No trusted structured position source found,
Trevor Ringland,Ireland,1987,TBC,,,,No trusted structured position source found,
Dai Young,Wales,1987,TBC,,,,No trusted structured position source found,
Dai Young,Wales,1999,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1987,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1991,TBC,,,,No trusted structured position source found,
Ieuan Evans,Wales,1995,TBC,,,,No trusted structured position source found,
Adrian Hadley,Wales,1987,TBC,,,,No trusted structured position source found,
Anthony Buchanan,Wales,1987,TBC,,,,No trusted structured position source found,
Bleddyn Bowen,Wales,1987,TBC,,,,No trusted structured position source found,
Glen Webbe,Wales,1987,TBC,,,,No trusted structured position source found,
Jeff Whitefoot,Wales,1987,TBC,,,,No trusted structured position source found,
John Devereux,Wales,1987,TBC,,,,No trusted structured position source found,
John Rawlins,Wales,1987,TBC,,,,No trusted structured position source found,
Kevin Hopkins,Wales,1987,TBC,,,,No trusted structured position source found,
Mark Ring,Wales,1987,TBC,,,,No trusted structured position source found,
Mark Ring,Wales,1991,TBC,,,,No trusted structured position source found,
Mark Titley,Wales,1987,TBC,,,,No trusted structured position source found,
Richard Webster,Wales,1987,TBC,,,,No trusted structured position source found,
Richard Webster,Wales,1991,TBC,,,,No trusted structured position source found,
Richie Collins,Wales,1987,TBC,,,,No trusted structured position source found,
Richie Collins,Wales,1991,TBC,,,,No trusted structured position source found,
Steve Blackmore,Wales,1987,TBC,,,,No trusted structured position source found,
