player_name,country,current_position,suggested_position,confidence,source_url,source_name,notes
Angus Ta'avao,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Atu Moli,New Zealand,TBC,,,,,No trusted source match found; years: 2019
George Bridge,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Jack Goodhue,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Luke Jacobson,New Zealand,TBC,,,,,"No trusted source match found; years: 2019, 2023"
Matt Todd,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Ofa Tu'ungafasi,New Zealand,TBC,,,,,"No trusted source match found; years: 2019, 2023"
Ryan Crotty,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Sevu Reece,New Zealand,TBC,,,,,No trusted source match found; years: 2019
Caleb Clarke,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Dalton Papalii,New Zealand,TBC,,,,,No trusted source match found; years: 2023
David Havili,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Emoni Narawa,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Ethan Blackadder,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Leicester Fainga'anuku,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Mark Tele'a,New Zealand,TBC,,,,,No trusted source match found; years: 2023
Ben Franks,New Zealand,TBC,,,,,"No trusted source match found; years: 2011, 2015"
Charlie Faumuina,New Zealand,TBC,,,,,No trusted source match found; years: 2015
Liam Messam,New Zealand,TBC,,,,,No trusted source match found; years: 2015
Ma'a Nonu,New Zealand,TBC,,,,,"No trusted source match found; years: 2003, 2011, 2015"
