player_name,country,primary_position,secondary_positions,source,notes
Joe Moody,New Zealand,LH,,manual_verified,All Blacks loosehead prop
Ethan de Groot,New Zealand,LH,,manual_verified,All Blacks loosehead prop
Tamaiti Williams,New Zealand,LH,,manual_verified,All Blacks prop; listed primary loosehead
Nepo Laulala,New Zealand,TH,,manual_verified,All Blacks tighthead prop
Tyrel Lomax,New Zealand,TH,,manual_verified,All Blacks tighthead prop
Fletcher Newell,New Zealand,TH,,manual_verified,All Blacks tighthead prop
Sam Cane,New Zealand,OSF,,manual_verified,All Blacks openside flanker
Shannon Frizell,New Zealand,BSF,,manual_verified,All Blacks blindside flanker
Richie McCaw,New Zealand,OSF,,manual_verified,All Blacks openside flanker
Jerome Kaino,New Zealand,BSF,,manual_verified,All Blacks blindside flanker
Ardie Savea,New Zealand,OSF,N8,manual_verified,All Blacks loose forward
Rieko Ioane,New Zealand,OC,LW,manual_verified,All Blacks centre/wing
Anton Lienert-Brown,New Zealand,IC,OC,manual_verified,All Blacks centre
Sonny Bill Williams,New Zealand,IC,,manual_verified,All Blacks inside centre
Conrad Smith,New Zealand,OC,,manual_verified,All Blacks outside centre
Julian Savea,New Zealand,LW,,manual_verified,All Blacks wing
Cory Jane,New Zealand,RW,FB,manual_verified,All Blacks outside back
Doug Howlett,New Zealand,RW,,manual_verified,All Blacks wing
Ox Nché,South Africa,LH,,manual_verified,Springboks loosehead prop
Steven Kitshoff,South Africa,LH,,manual_verified,Springboks loosehead prop
Tendai Mtawarira,South Africa,LH,,manual_verified,Springboks loosehead prop
Frans Malherbe,South Africa,TH,,manual_verified,Springboks tighthead prop
Vincent Koch,South Africa,TH,,manual_verified,Springboks tighthead prop
Trevor Nyakane,South Africa,TH,LH,manual_verified,Springboks prop
Os du Randt,South Africa,LH,,manual_verified,Springboks loosehead prop
Siya Kolisi,South Africa,OSF,BSF,manual_verified,Springboks flanker
Schalk Burger,South Africa,OSF,BSF,manual_verified,Springboks flanker
Duane Vermeulen,South Africa,N8,,manual_verified,Springboks number eight
Jasper Wiese,South Africa,N8,,manual_verified,Springboks number eight
Cheslin Kolbe,South Africa,RW,FB,manual_verified,Springboks wing/fullback
Makazole Mapimpi,South Africa,LW,,manual_verified,Springboks wing
Damian de Allende,South Africa,IC,,manual_verified,Springboks inside centre
Jesse Kriel,South Africa,OC,,manual_verified,Springboks outside centre
Lukhanyo Am,South Africa,OC,,manual_verified,Springboks outside centre
Bryan Habana,South Africa,LW,,manual_verified,Springboks wing
JP Pietersen,South Africa,RW,,manual_verified,Springboks wing
Jean de Villiers,South Africa,IC,OC,manual_verified,Springboks centre
Angus Bell,Australia,LH,,manual_verified,Wallabies loosehead prop
James Slipper,Australia,LH,,manual_verified,Wallabies loosehead prop
Scott Sio,Australia,LH,,manual_verified,Wallabies loosehead prop
Sekope Kepu,Australia,TH,,manual_verified,Wallabies tighthead prop
Taniela Tupou,Australia,TH,,manual_verified,Wallabies tighthead prop
Allan Alaalatoa,Australia,TH,,manual_verified,Wallabies tighthead prop
Michael Hooper,Australia,OSF,,manual_verified,Wallabies openside flanker
David Pocock,Australia,OSF,N8,manual_verified,Wallabies openside flanker/number eight
George Smith,Australia,OSF,,manual_verified,Wallabies openside flanker
Phil Waugh,Australia,OSF,,manual_verified,Wallabies openside flanker
Rocky Elsom,Australia,BSF,,manual_verified,Wallabies blindside flanker
Rob Valetini,Australia,N8,BSF,manual_verified,Wallabies back row
Marika Koroibete,Australia,LW,,manual_verified,Wallabies wing
Samu Kerevi,Australia,IC,,manual_verified,Wallabies inside centre
Tevita Kuridrani,Australia,OC,,manual_verified,Wallabies outside centre
Stirling Mortlock,Australia,OC,,manual_verified,Wallabies outside centre
Tim Horan,Australia,IC,,manual_verified,Wallabies inside centre
David Campese,Australia,RW,LW,manual_verified,Wallabies wing
Joe Roff,Australia,LW,FB,manual_verified,Wallabies wing/fullback
Lote Tuqiri,Australia,RW,,manual_verified,Wallabies wing
