year,country,player_name,position,secondary_positions,captain,source_url
2023,Argentina,Agustín Creevy,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Eduardo Bello,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Emiliano Boffelli,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Facundo Isa,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Francisco Gómez Kodela,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Gonzalo Bertranou,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Guido Petti,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Ignacio Ruiz,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Jerónimo de la Fuente,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Joaquín Oviedo,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Joel Sclavi,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Juan Cruz Mallía,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Juan Imhoff,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Juan Martín González,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Julián Montoya,HK,,true,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Lautaro Bazán,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Lucas Paulos,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Lucio Cinti,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Marcos Kremer,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Martín Bogado,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Mateo Carreras,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Matías Alemanno,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Matías Moroni,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Mayco Vivas,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Nahuel Tetaz Chaparro,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Nicolás Sánchez,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Pablo Matera,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Pedro Rubiolo,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Rodrigo Bruni,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Rodrigo Isgró,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Santiago Carreras,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Santiago Chocobares,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Santiago Grondona,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Thomas Gallo,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Tomás Cubelli,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Argentina,Tomás Lavanini,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Andrew Kellaway,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Angus Bell,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Ben Donaldson,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Blake Schoupp,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Carter Gordon,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Dave Porecki,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Fraser McReight,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Issak Fines-Leleiwasa,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Izaia Perese,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,James Slipper,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Jordan Petaia,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Jordan Uelese,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Josh Kemeny,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Lalakai Foketi,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Langi Gleeson,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Marika Koroibete,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Mark Nawaqanitawase,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Matt Faessler,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Matt Philip,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Max Jorgensen,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Nic White,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Nick Frost,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Pone Fa'amausili,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Richie Arnold,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Rob Leota,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Rob Valetini,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Samu Kerevi,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Suliasi Vunivalu,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Taniela Tupou,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Tate McDermott ( cc ),SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Tom Hooper,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Will Skelton ( cc ),LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Australia,Zane Nonggorr,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Alfonso Escobar,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Augusto Böhme,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Augusto Sarmiento,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Benjamín Videla,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Clemente Saavedra,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Cristóbal Game Jiménez,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Diego Escobar,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Domingo Saavedra,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Esteban Inostroza,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Francisco Urroz,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Franco Velarde,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Ignacio Silva,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Iñaki Ayarza,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Iñaki Gurruchaga,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Javier Carrasco,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Javier Eissmann,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,José Ignacio Larenas,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Lukas Carvallo,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Marcelo Torrealba,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Martín Sigren,TBC,,true,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Matías Dittus,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Matías Garafulic,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Nicolás Garafulic,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Nicolás Herreros,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Pablo Casas,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Pablo Huete,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Raimundo Martínez,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Rodrigo Fernández,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Salvador Lues,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Santiago Pedrero,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Santiago Videla,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Thomas Orchard,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Tomás Dussaillant,HK,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,Chile,Vittorio Lastra,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Alex Mitchell,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Anthony Watson,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Ben Earl,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Ben Youngs,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Bevan Rodd,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Billy Vunipola,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Courtney Lawes ( vc ),LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Dan Cole,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Danny Care,SH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,David Ribbans,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Elliot Daly,TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Ellis Genge ( vc ),TBC,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,Freddie Steward,FB,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,George Ford,FH,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
2023,England,George Martin,LK4,,false,https://en.wikipedia.org/wiki/2023_Rugby_World_Cup_squads
